YEAR_MONTH,BNF_CHEMICAL_SUBSTANCE_CODE,BNF_CHEMICAL_SUBSTANCE,ITEMS,TOTAL_QUANTITY,NIC
202101,0205052N0,Losartan potassium,865370.0,30205164.0,1997148.75
202101,0205052P0,Losartan potassium with diuretic,13878.0,536613.0,76350.15
202101,0205052Q0,Telmisartan,25671.0,946632.0,129339.41
202101,0205052R0,Telmisartan with diuretic,2589.0,100477.0,58518.37
202101,0205052V0,Valsartan,27360.0,1108895.0,479810.4
202101,0205052W0,Eprosartan,3653.0,147090.0,64740.64
202101,0205052X0,Valsartan with diuretic,4302.0,163742.0,115209.43
202101,0205052Y0,Olmesartan medoxomil/hydrochlorothiazide,1205.0,44557.0,22725.9
202101,0205053A0,Aliskiren,1273.0,44960.0,49514.68
202101,0206010F0,Glyceryl trinitrate,123715.0,460573.0,417613.64
202101,0206010I0,Isosorbide dinitrate,5102.0,247879.0,64283.25
202101,0206010K0,Isosorbide mononitrate,365266.0,12353165.0,1375222.88
202101,0206020A0,Amlodipine,2642100.0,90674512.0,3497650.27
202101,0206020B0,Trimetazidine hydrochloride,55.0,3017.0,10879.78
202101,0206020C0,Diltiazem hydrochloride,197614.0,8368404.0,1981616.68
202101,0206020F0,Felodipine,302804.0,10646610.0,1913986.01
202101,0206020K0,Lacidipine,47177.0,1696686.0,130576.31
202101,0206020L0,Lercanidipine hydrochloride,235900.0,7977624.0,697552.87
202101,0206020M0,Nimodipine,52.0,5288.0,2115.2
202101,0206020Q0,Nicardipine hydrochloride,1111.0,86514.0,12715.83
202101,0206020R0,Nifedipine,110580.0,5632749.0,1144283.95
202101,0206020T0,Verapamil hydrochloride,50746.0,2900025.0,433219.09
202101,0206020Z0,Valsartan/amlodipine,1890.0,76693.0,67261.78
202101,0206030N0,Nicorandil,101060.0,5598410.0,450052.06
202101,0206030Y0,Ivabradine,41781.0,1975007.0,589253.8999999999
202101,0206030Z0,Ranolazine,49700.0,2562613.0,2091914.21
202101,0206040AE,Naftidrofuryl oxalate,10184.0,913413.0,79722.79999999999
202101,0206040AG,Pentoxifylline,1421.0,92000.0,19819.58
202101,0206040AH,Rutosides,731.0,70261.0,15850.86
202101,0206040AI,Moxisylyte hydorchloride,83.0,10748.0,8657.99
202101,0206040X0,Cilostazol,1488.0,81846.0,21029.23
202101,0207020Y0,Midodrine hydrochloride,11590.0,911736.0,601037.94
202101,0207030A0,Adrenaline,5.0,26.0,236.64
202101,0208010AB,Fondaparinux sodium,94.0,2352.0,24424.84
202101,0208010D0,Enoxaparin,10666.0,257147.0,1352596.94
202101,0208010K0,Heparin sodium,19.0,422.0,1569.86
202101,0208010L0,Dalteparin sodium,7316.0,155497.0,894375.13
202101,0208010N0,Heparin calcium,4.0,112.0,500.64
202101,0208010P0,Heparin flushes,618.0,10045.0,15304.2
202101,0208010W0,Tinzaparin sodium,4824.0,116116.0,756298.14
202101,0208020AA,Edoxaban,138901.0,3900119.0,6825208.25
202101,0208020H0,Acenocoumarol,1488.0,186350.0,8609.33
202101,0208020I0,Pentosan polysulfate sodium,94.0,9588.0,47940.0
202101,0208020N0,Phenindione,25.0,4064.0,95358.86
202101,0208020S0,Phenprocoumon,1.0,100.0,96.25
202101,0208020V0,Warfarin sodium,416133.0,21503052.0,822273.92
202101,0208020W0,INR blood testing reagents,2226.0,67032.0,198240.71
202101,0208020X0,Dabigatran etexilate,33434.0,2073454.0,1762435.9
202101,0208020Y0,Rivaroxaban,375063.0,10868557.0,19402396.2
202101,0208020Z0,Apixaban,593385.0,31509109.0,29933649.82
202101,0209000A0,Aspirin,1735984.0,53339584.0,2042153.04
202101,0209000C0,Clopidogrel,857020.0,23985676.0,1442307.45
202101,0209000L0,Dipyridamole,16689.0,1252123.0,263741.25
202101,0209000U0,Ticlopidine hydrochloride,2.0,112.0,373.24
202101,0209000V0,Dipyridamole and aspirin,14.0,1084.0,232.48
202101,0209000Y0,Prasugrel,6718.0,205679.0,48383.38
202101,0209000Z0,Ticagrelor,45726.0,2596636.0,2531720.68
202101,0211000P0,Tranexamic acid,38587.0,2444157.0,372662.84
202101,021200010,Ciprofibrate,1656.0,51973.0,227363.63
202101,0212000A0,Acipimox,131.0,9115.0,4692.35
202101,0212000AA,Rosuvastatin calcium,245496.0,8212941.0,565859.8200000001
202101,0212000AB,Omega-3-acid ethyl esters,7030.0,477524.0,239914.02
202101,0212000AC,Simvastatin and ezetimibe,1080.0,38352.0,51843.97
202101,0212000AD,Colesevelam hydrochloride,12737.0,1728199.0,1107197.42
202101,0212000AG,Policosanol,1.0,120.0,27.9
202101,0212000AH,Evolocumab,6.0,20.0,3402.0
202101,0212000AI,Alirocumab,5.0,20.0,3360.0
202101,0212000AJ,Fenofibrate/simvastatin,1.0,28.0,7.77
202101,0212000AK,Bempedoic acid,1.0,28.0,55.44
202101,0212000AL,Bempedoic acid/Ezetimibe,5.0,140.0,277.2
202101,0212000B0,Atorvastatin,4174018.0,134993118.0,7260633.47
202101,0212000D0,Bezafibrate,30522.0,1082828.0,240876.21
202101,0212000F0,Colestyramine,10451.0,684389.0,296968.78
202101,0212000K0,Colestipol hydrochloride,851.0,47926.0,24042.74
202101,0212000L0,Ezetimibe,163811.0,5225211.0,498944.88
202101,0212000M0,Fluvastatin sodium,8454.0,293928.0,63246.65
202101,0212000P0,Fenofibrate,46104.0,1519018.0,253597.01
202101,0212000Q0,Gemfibrozil,652.0,39466.0,24205.01
202101,0212000X0,Pravastatin sodium,198831.0,6531499.0,338797.64
202101,0212000Y0,Simvastatin,1533473.0,50330078.0,2203269.19
202101,0301011AB,Beclometdiprop/formoterol/glycopyrronium,109229.0,119748.0,5328786.0
202101,0301011B0,Bambuterol hydrochloride,251.0,8500.0,8780.3
202101,0301011E0,Formoterol fumarate,8355.0,38342.0,255357.61
202101,0301011R0,Salbutamol,1728377.0,4950256.0,4465812.609999999
202101,0301011U0,Salmeterol,21307.0,26390.0,782238.95
202101,0301011V0,Terbutaline sulphate,36993.0,83350.0,399103.61
202101,0301011X0,Indacaterol maleate,1185.0,42120.0,45194.76
202101,0301011Z0,Olodaterol,208.0,236.0,6218.599999999999
202101,0301012F0,Ephedrine hydrochloride,235.0,18919.0,58084.41
202101,0301020I0,Ipratropium bromide,24511.0,554542.0,232695.07
202101,0301020Q0,Tiotropium bromide,263302.0,6029483.0,8114603.460000001
202101,0301020R0,Aclidinium bromide,18354.0,20672.0,671840.0
202101,0301020S0,Glycopyrronium bromide,26884.0,932230.0,854545.59
202101,0301020T0,Umeclidinium bromide,43340.0,49285.0,1355337.5
202101,0301030B0,Aminophylline,5.0,460.0,197.28
202101,0301030C0,Aminophylline hydrate,19885.0,1191653.0,52912.94
202101,0301030S0,Theophylline,34574.0,1756811.0,121729.45
202101,0301040R0,Salbutamol,1160.0,101278.0,40640.28
202101,0301040V0,Aclidinium bromide/formoterol,15100.0,17217.0,559552.5
202101,0301040W0,Umeclidinium bromide/vilanterol,68237.0,78225.0,2542312.5
202101,0301040X0,Tiotropium bromide/olodaterol,24887.0,27723.0,900997.5
202101,0301040Y0,Indacaterol/glycopyrronium,22400.0,765420.0,829201.75
202101,0302000C0,Beclometasone dipropionate,1039204.0,1215938.0,24125075.700000003
202101,0302000K0,Budesonide,290314.0,507267.0,10318044.93
202101,0302000N0,Fluticasone propionate (Inhalation),343659.0,436663.0,10889760.97
202101,0302000R0,Mometasone furoate,247.0,322.0,7974.09
202101,0302000U0,Ciclesonide,4362.0,5096.0,143078.55
202101,0302000V0,Fluticasone furoate (Inhalation),171113.0,198928.0,6716611.0
202101,0303010J0,Nedocromil sodium,19.0,22.0,878.68
202101,0303010Q0,Sodium cromoglicate,518.0,765.0,14022.45
202101,0303020G0,Montelukast,305036.0,9489183.0,898913.4400000001
202101,0303020Z0,Zafirlukast,5.0,400.0,516.51
202101,0303030B0,Roflumilast,577.0,14175.0,17818.760000000002
202101,0304010A0,Acrivastine,3333.0,245917.0,65406.0
202101,0304010AA,Mizolastine,1651.0,61000.0,14070.78
202101,0304010AB,Desloratadine,13451.0,613117.0,44776.04
202101,0304010AC,Levocetirizine,4445.0,235689.0,29324.66
202101,0304010AE,Rupatadine fumarate,158.0,9808.0,8996.34
202101,0304010AF,Bilastine,115.0,5666.0,1133.1999999999998
202101,0304010AG,Ketotifen fumarate,492.0,77175.0,7450.73
202101,0304010D0,Loratadine,121200.0,4878595.0,161403.25
202101,0304010E0,Fexofenadine hydrochloride,289658.0,11148309.0,1044413.05
202101,0304010G0,Chlorphenamine maleate,64149.0,5668595.0,291799.01
202101,0304010H0,Clemastine fumarate,267.0,17024.0,2079.83
202101,0304010I0,Cetirizine hydrochloride,302184.0,16081666.0,427603.63
202101,0304010J0,Hydroxyzine hydrochloride,32124.0,1282066.0,82829.52
202101,0304010K0,Cyproheptadine hydrochloride,212.0,12607.0,2972.79
202101,0304010N0,Diphenhydramine hydrochloride,2531.0,66125.0,12547.66
202101,0304010W0,Promethazine hydrochloride,156140.0,6676921.0,446847.95
202101,0304010Y0,Alimemazine tartrate,2398.0,306304.0,737361.4
202101,0304020AA,Benralizumab,1.0,1.0,1955.0
202101,0304020AB,Timothy grass pollen allergen extract,142.0,5974.0,15954.58
202101,0304020X0,Omalizumab,1.0,1.0,128.07
202101,0304030C0,Adrenaline,23565.0,47532.0,1593454.97
202101,0304030F0,C1-Esterase inhibitor,3.0,10.0,5500.0
202101,0307000C0,Acetylcysteine,5945.0,198258.0,77562.4
202101,0307000J0,Carbocisteine,236711.0,32595677.0,1330191.69
202101,0307000K0,Dornase alfa,645.0,23052.0,381456.72
202101,0307000Q0,Erdosteine,672.0,23847.0,5961.75
202101,0307000R0,Mannitol,1.0,280.0,231.66
202101,030800000,Other aromatic inhalation preparations,1.0,12.0,2.78
