YEAR_MONTH,BNF_CHEMICAL_SUBSTANCE_CODE,BNF_CHEMICAL_SUBSTANCE,PREP_CLASS,PRESCRIBED_PREP_CLASS,ITEMS,NIC
202602,0902021S0,Sodium chloride,01,01,2592.0,48948.03999999999
202602,0902021S0,Sodium chloride,03,01,24.0,1093.31
202602,0902021S0,Sodium chloride,03,03,47.0,2015.76
202602,0902021S0,Sodium chloride,05,01,30.0,3325.5
202602,0902021S0,Sodium chloride,05,05,92.0,2484.03
202602,0902021X0,Water for injection,01,01,18345.0,126960.39
202602,0902021X0,Water for injection,03,01,33.0,8591.75
202602,0902021X0,Water for injection,03,03,63.0,12322.42
202602,0902021X0,Water for injection,05,01,43.0,6954.32
202602,0902021X0,Water for injection,05,05,586.0,5959.74
202602,0904010F0,Gluten free/low protein bread,03,03,1.0,11.08
202602,0904010H0,Gluten free breads,03,03,2.0,86.12
202602,0904010Z0,Gluten free/low protein biscuits,03,03,1.0,1.0
202602,090501100,Other calcium supplement preparations,03,02,370.0,11443.21
202602,090501100,Other calcium supplement preparations,03,03,1190.0,38802.51
202602,0905011D0,Calcium carbonate,01,01,8244.0,45879.850000000006
202602,0905011D0,Calcium carbonate,03,01,35.0,184.75
202602,0905011D0,Calcium carbonate,03,02,7095.0,38505.48
202602,0905011D0,Calcium carbonate,03,03,18293.0,106669.96
202602,0905011K0,Calcium gluconate,01,01,80.0,2382.9
202602,0905011K0,Calcium gluconate,05,05,1.0,18.35
202602,0905012I0,Cinacalcet hydrochloride,01,01,8532.0,93265.05
202602,0905012I0,Cinacalcet hydrochloride,05,05,10.0,124.76
202602,090501300,Other magnesium preparations,03,03,336.0,200.19
202602,090501300,Other magnesium preparations,05,01,23.0,147.13
202602,090501300,Other magnesium preparations,05,05,13.0,158.42000000000002
202602,0905013A0,Magnesium aspartate,03,02,5276.0,205023.61
202602,0905013A0,Magnesium aspartate,03,03,1672.0,62254.02
202602,0905013A0,Magnesium aspartate,05,05,13.0,1297.66
202602,0905013F0,Magnesium citrate,01,01,443.0,13448.0
202602,0905013F0,Magnesium citrate,03,01,275.0,22729.11
202602,0905013F0,Magnesium citrate,03,02,184.0,17291.52
202602,0905013F0,Magnesium citrate,03,03,36.0,3690.74
202602,0905013F0,Magnesium citrate,05,01,75.0,543.5799999999999
202602,0905013F0,Magnesium citrate,05,05,240.0,41971.97
202602,0905013G0,Magnesium glycerophosphate,03,01,331.0,11727.6
202602,0905013G0,Magnesium glycerophosphate,03,02,2104.0,181932.93
202602,0905013G0,Magnesium glycerophosphate,03,03,1663.0,84133.66
202602,0905013G0,Magnesium glycerophosphate,05,01,36.0,1428.4699999999998
202602,0905013G0,Magnesium glycerophosphate,05,05,187.0,18539.45
202602,0905013N0,Magnesium sulfate,05,01,6.0,72.03
202602,0905013N0,Magnesium sulfate,05,05,10.0,446.62
202602,0905013P0,Magnesium lactate,03,02,53.0,6457.24
202602,0905013P0,Magnesium lactate,03,03,24.0,14169.96
202602,0905013P0,Magnesium lactate,05,05,9.0,3084.29
202602,090502100,Other phosphate supplement preparations,03,02,198.0,3653.0
202602,090502100,Other phosphate supplement preparations,03,03,2094.0,39513.5
202602,090502100,Other phosphate supplement preparations,05,05,7.0,2614.32
202602,0905021L0,Sodium dihydrogen phosphate dihydrate,05,05,2.0,78.36
202602,0905022C0,Calcium acetate,03,02,3975.0,35660.35
202602,0905022C0,Calcium acetate,03,03,2635.0,23820.43
202602,0905022S0,Sevelamer,01,01,7061.0,114412.8
202602,0905022S0,Sevelamer,03,02,93.0,10440.0
202602,0905022S0,Sevelamer,03,03,198.0,24000.08
202602,0905022T0,Lanthanum carbonate,01,01,481.0,70578.74
202602,0905022T0,Lanthanum carbonate,03,01,1.0,580.77
202602,0905022T0,Lanthanum carbonate,03,02,63.0,11989.24
202602,0905022T0,Lanthanum carbonate,03,03,65.0,11767.38
202602,0905022U0,Calcium acetate/magnesium carbonate,03,02,2.0,26.8
202602,0905022W0,Sucroferric oxyhydroxide,03,02,26.0,4833.0
202602,0905022W0,Sucroferric oxyhydroxide,03,03,19.0,5012.0
202602,0905030G0,Sodium fluoride,01,01,26942.0,583225.31
202602,0905030G0,Sodium fluoride,03,01,26.0,292.34000000000003
202602,0905030G0,Sodium fluoride,03,03,96790.0,2250450.8
202602,090504100,Other zinc preparations,03,01,1.0,0.29
202602,090504100,Other zinc preparations,03,02,2.0,6.07
202602,090504100,Other zinc preparations,03,03,1.0,0.29
202602,090504100,Other zinc preparations,05,01,87.0,349.17
202602,090504100,Other zinc preparations,05,05,23.0,3019.39
202602,0905041Q0,Zinc sulfate,03,01,752.0,5727.59
202602,0905041Q0,Zinc sulfate,03,03,22.0,172.95999999999998
202602,0905041Q0,Zinc sulfate,05,01,42.0,341.06000000000006
202602,0905041Q0,Zinc sulfate,05,05,28.0,561.51
202602,0905041R0,Zinc sulfate monohydrate,03,02,1175.0,14746.38
202602,0905041R0,Zinc sulfate monohydrate,03,03,872.0,11651.22
202602,090504700,Other selenium preparations,03,02,1104.0,13212.68
202602,090504700,Other selenium preparations,03,03,65.0,557.1600000000001
202602,090504700,Other selenium preparations,05,01,21.0,73.46000000000001
202602,090504700,Other selenium preparations,05,05,1.0,2.97
202602,090504800,Other mineral formulation preparations,03,02,5.0,87.00999999999999
202602,090504800,Other mineral formulation preparations,03,03,3.0,29.3
202602,0905050A0,Selenium,03,02,72.0,5636.6
202602,0905050A0,Selenium,03,03,23.0,1781.9
202602,090601100,Other vitamin A preparations 0906011,03,03,28.0,358.04
202602,090601100,Other vitamin A preparations 0906011,05,01,1.0,17.3
