YEAR_MONTH,BNF_CHAPTER_CODE,BNF_CHAPTER,ITEMS,TOTAL_QUANTITY,NIC
202107,4,Central Nervous System,18908201.0,1320362437.0,133122614.13
202107,5,Infections,3085542.0,117711274.0,17043515.91
202107,6,Endocrine System,10063080.0,501286549.5,131167376.17
202107,7,"Obstetrics, Gynaecology and Urinary-Tract Disorders",2669349.0,115746138.0,20537077.81
202107,8,Malignant Disease and Immunosuppression,388453.0,16145598.0,14563811.75
202107,9,Nutrition and Blood,5295410.0,2668863531.0,60363495.17
202108,1,Gastro-Intestinal System,8614477.0,673055229.0,48791844.68
202108,10,Musculoskeletal and Joint Diseases,2449719.0,160437963.5,12314343.73
202108,11,Eye,1313279.0,21943108.0,13206573.32
202108,12,"Ear, Nose and Oropharynx",836387.0,20581015.7,5696331.07
202108,13,Skin,2011209.0,367090333.94,19557359.3
202108,14,Immunological Products and Vaccines,56379.0,56770.0,792564.33
202108,15,Anaesthesia,117626.0,4615635.5,1724622.79
202108,18,Preparations used in Diagnosis,13.0,11200.0,1960.0
202108,19,Other Drugs and Preparations,76350.0,49967979.0,2049060.05
202108,2,Cardiovascular System,27115801.0,955692520.0,130810459.07
202108,20,Dressings,493821.0,13013584.2,13554987.77
202108,21,Appliances,2582107.0,469063518.5,43939850.64
202108,22,Incontinence Appliances,189173.0,3592563.0,4793297.87
202108,23,Stoma Appliances,563869.0,52618203.3,30367412.470000003
202108,3,Respiratory System,5847833.0,120099640.0,85447372.61
202108,4,Central Nervous System,18076433.0,1261602252.2,126112989.84
202108,5,Infections,2892009.0,103306867.0,15971529.419999998
202108,6,Endocrine System,9619085.0,476241075.0,124379964.82
202108,7,"Obstetrics, Gynaecology and Urinary-Tract Disorders",2544710.0,109357714.5,19281808.74
202108,8,Malignant Disease and Immunosuppression,371439.0,15335432.0,13696902.79
202108,9,Nutrition and Blood,5057475.0,2530025389.5,56622710.68
202109,1,Gastro-Intestinal System,9026089.0,708313562.0,51496987.23
202109,10,Musculoskeletal and Joint Diseases,2579152.0,169799854.0,13056665.81
202109,11,Eye,1348974.0,22565960.0,13645240.32
202109,12,"Ear, Nose and Oropharynx",884937.0,21975308.5,5946149.74
202109,13,Skin,2150565.0,386303016.94,21211209.47
202109,14,Immunological Products and Vaccines,1975216.0,1976405.0,21592397.57
202109,15,Anaesthesia,123116.0,39044216.5,1788261.7
202109,18,Preparations used in Diagnosis,13.0,7800.0,1365.0
202109,19,Other Drugs and Preparations,90401.0,52654560.0,2183749.84
202109,2,Cardiovascular System,28218057.0,998745658.0,136685409.96
202109,20,Dressings,496024.0,13270596.4,13854737.02
202109,21,Appliances,2774090.0,500358359.5,47368297.94
202109,22,Incontinence Appliances,212398.0,4028511.0,5342534.050000001
202109,23,Stoma Appliances,591263.0,55227307.0,31838328.05
202109,3,Respiratory System,6270603.0,126241996.0,91655534.32
202109,4,Central Nervous System,18915538.0,1318050965.0,132684595.11
202109,5,Infections,3243459.0,120064990.0,17189169.04
202109,6,Endocrine System,10078096.0,500074870.5,131889532.63
202109,7,"Obstetrics, Gynaecology and Urinary-Tract Disorders",2675674.0,115926566.5,20639128.1
202109,8,Malignant Disease and Immunosuppression,386776.0,16053122.0,14510540.85
202109,9,Nutrition and Blood,5223205.0,2680026276.5,59694115.99
202110,1,Gastro-Intestinal System,8639016.0,673995712.0,48880790.72
202110,10,Musculoskeletal and Joint Diseases,2451552.0,161521564.0,11750029.49
202110,11,Eye,1297655.0,21590965.0,12870928.43
202110,12,"Ear, Nose and Oropharynx",848095.0,21545221.4,5483954.77
202110,13,Skin,2026031.0,360198949.41,19749548.33
202110,14,Immunological Products and Vaccines,4539981.0,4540911.0,49094722.49
202110,15,Anaesthesia,125772.0,10056136.5,1741627.73
202110,18,Preparations used in Diagnosis,15.0,10000.0,1750.0
202110,19,Other Drugs and Preparations,83880.0,49988697.0,2001404.7
202110,2,Cardiovascular System,27000168.0,952744739.0,128290157.04
202110,20,Dressings,473462.0,12395999.4,13323639.62
202110,21,Appliances,2667928.0,470773498.5,45065614.94
202110,22,Incontinence Appliances,191185.0,3642378.0,4870372.25
202110,23,Stoma Appliances,557454.0,51718660.6,30233043.02
202110,3,Respiratory System,6027850.0,116702787.0,87043740.65
202110,4,Central Nervous System,18148852.0,1263843127.0,122655719.28
202110,5,Infections,3451788.0,135646851.5,16434960.13
202110,6,Endocrine System,9735167.0,480466926.5,125291478.91
202110,7,"Obstetrics, Gynaecology and Urinary-Tract Disorders",2553585.0,109502462.5,19520420.0
202110,8,Malignant Disease and Immunosuppression,370380.0,15246640.0,13675429.49
202110,9,Nutrition and Blood,5027046.0,2531418575.0,56564100.7
202111,1,Gastro-Intestinal System,8965840.0,701298601.0,51281542.58
202111,10,Musculoskeletal and Joint Diseases,2529530.0,166668395.0,12220610.23
202111,11,Eye,1365557.0,22421386.0,13601826.08
202111,12,"Ear, Nose and Oropharynx",886970.0,22313563.2,5709524.199999999
202111,13,Skin,2145142.0,382805902.41,20784333.02
202111,14,Immunological Products and Vaccines,2703333.0,2704319.0,29186795.71
202111,15,Anaesthesia,130777.0,5952825.0,1797437.6800000002
202111,18,Preparations used in Diagnosis,8.0,4800.0,840.0
202111,19,Other Drugs and Preparations,77544.0,51927115.0,2150686.99
202111,2,Cardiovascular System,28077890.0,993999782.0,134228049.04
202111,20,Dressings,500071.0,13193830.9,14144484.83
202111,21,Appliances,2814240.0,502956305.0,46927270.28
202111,22,Incontinence Appliances,203081.0,3875153.0,5116307.7700000005
202111,23,Stoma Appliances,569747.0,53201181.1,30966074.0
202111,3,Respiratory System,6232907.0,120354038.0,90157319.14
202111,4,Central Nervous System,18817786.0,1309220244.0,128207373.86
202111,5,Infections,3562416.0,137442294.0,17133521.16
202111,6,Endocrine System,10145684.0,501624696.5,131351248.68
202111,7,"Obstetrics, Gynaecology and Urinary-Tract Disorders",2662119.0,114637950.0,20455016.01
202111,8,Malignant Disease and Immunosuppression,381184.0,15735555.0,13753590.760000002
202111,9,Nutrition and Blood,5238930.0,2633076779.5,59331543.06
202112,1,Gastro-Intestinal System,9374836.0,734808522.0,54412761.2
