YEAR_MONTH,ORG_CODE,ORG_NAME,ITEMS,TOTAL_QUANTITY,NIC
202105,QMF,EAST LONDON HEALTH & CARE P/SHIP STP,2493868.0,210231340.4,19693771.93
202105,QMJ,NORTH LONDON PARTNERS IN H&C STP,1617578.0,140694726.4,14075805.3
202105,QMM,NORFOLK & WAVENEY H&C PARTNERSHIP STP,1905074.0,128667096.1,14296149.83
202105,QNC,STAFFORDSHIRE & STOKE ON TRENT STP,2076294.0,170998033.2,18872511.27
202105,QNQ,FRIMLEY HEALTH & CARE ICS STP,852249.0,67311160.9,7918550.59
202105,QNX,SUSSEX & EAST SURREY STP,2535961.0,179632856.8,25317402.13
202105,QOC,SHROPSHIRE & TELFORD & WREKIN STP,735274.0,55479155.1,6977512.82
202105,QOP,GREATER MANCHESTER HSC PARTNERSHIP STP,5037713.0,424962359.6,46264821.01
202105,QOQ,"HUMBER, COAST & VALE STP",3072713.0,216612987.9,23913903.85
202105,QOX,"BATH & NE SOMERSET, SWINDON & WILTS STP",1340242.0,94349063.6,10493621.95
202105,QPM,NORTHAMPTONSHIRE STP,1232211.0,73391499.9,8922835.34
202105,QR1,GLOUCESTERSHIRE STP,1019669.0,55851498.2,9160969.3
202105,QRL,HAMPSHIRE & THE ISLE OF WIGHT STP,2439158.0,199043149.6,23834279.02
202105,QRV,NW LONDON HEALTH & CARE PARTNERSHIP STP,3369450.0,251788102.2,27302873.55
202105,QSL,SOMERSET STP,852770.0,59871874.7,7472662.83
202105,QT1,NOTTINGHAM & NOTTINGHAMSHIRE H&C STP,1624112.0,120811229.5,16062820.170000002
202105,QT6,CORNWALL & SCILLY ISLES HSC P/SHIP STP,1046002.0,66835289.2,7996946.76
202105,QU9,"BUCKS, OXFORDSHIRE & BERKSHIRE WEST STP",2131200.0,154772477.0,20332399.03
202105,QUA,THE BLACK COUNTRY & WEST BIRMINGHAM STP,2165063.0,201514254.6,19824115.46
202105,QUE,CAMBRIDGESHIRE & PETERBOROUGH STP,1582726.0,102552924.9,25188468.42
202105,QUY,"BRISTOL, N SOMERSET & S GLOUCS STP",1298550.0,99905850.2,11263737.46
202105,QVV,DORSET STP,1229780.0,97781458.91,11130159.83
202105,QWE,SW LONDON HEALTH & CARE PARTNERSHIP STP,1780023.0,122189061.1,14167181.48
202105,QWO,W YORKSHIRE & HARROGATE H&C P/SHIP STP,4999197.0,399358651.9,42256102.28
202105,QWU,COVENTRY & WARWICKSHIRE STP,1495482.0,109200181.4,11960675.51
202105,QXU,SURREY HEARTLANDS H&C PARTNERSHIP STP,1090550.0,95409634.4,11232054.98
202105,QYG,CHESHIRE & MERSEYSIDE STP,4632692.0,423102889.5,39860797.93
202106,QE1,HEALTHIER LANCASHIRE & SOUTH CUMBRIA STP,3347566.0,244151311.4,27200553.34
202106,QF7,SOUTH YORKSHIRE & BASSETLAW STP,3182660.0,205498234.7,23726790.33
202106,QGH,HEREFORDSHIRE & WORCESTERSHIRE STP,1307430.0,520796689.4,18910518.74
202106,QH8,MID AND SOUTH ESSEX STP,1827207.0,118773543.38,16743337.06
202106,QHG,"BEDFORDSHIRE, LUTON & MILTON KEYNES STP",1259839.0,100171234.7,10964006.36
202106,QHL,BIRMINGHAM & SOLIHULL STP,1734739.0,179360603.9,16886920.02
202106,QHM,CUMBRIA & NORTH EAST STP,6835446.0,434554836.3,47190146.86
202106,QJ2,JOINED UP CARE DERBYSHIRE STP,1620769.0,129246277.9,13463860.29
202106,QJG,SUFFOLK & NORTH EAST ESSEX STP,1899433.0,119049403.0,14895394.64
202106,QJK,DEVON STP,2121410.0,155196573.7,17535753.23
202106,QJM,LINCOLNSHIRE STP,1812083.0,113670974.5,12704456.91
202106,QK1,"LEICESTER, LEICESTERSHIRE & RUTLAND STP",1854668.0,141207949.1,14965278.56
202106,QKK,OUR HEALTHIER SOUTH EAST LONDON STP,2028477.0,170599778.4,18270351.87
202106,QKS,KENT & MEDWAY STP,2813361.0,465373238.1,29113089.01
202106,QM7,HERTFORDSHIRE & WEST ESSEX STP,2260949.0,153230002.1,18324129.31
