YEAR_MONTH,DISPENSER_ACCOUNT_TYPE,ITEMS,TOTAL_QUANTITY,NIC
202504,English Dispensing Doctor,6192767.0,311412932.0,41429277.04
202504,English Personal Administration,508355.0,654045.5,7829506.2
202504,English Pharmacy,96556522.0,7984463309.1,787816939.19
202505,English Appliance Contractor,1080133.0,80010919.6,71895021.83
202505,English Dispensing Doctor,6425996.0,327415860.2,43322624.67
202505,English Personal Administration,518315.0,676858.0,8079246.82
202505,English Pharmacy,99864449.0,8390340531.4,830318883.24
202506,English Appliance Contractor,1112036.0,83339947.0,71715554.33
202506,English Dispensing Doctor,6356651.0,322979691.0,43457267.02
202506,English Personal Administration,502088.0,655711.5,7633925.4
202506,English Pharmacy,96784920.0,8077143205.599999,811613523.54
202507,English Appliance Contractor,1167727.0,86504638.9,76571779.24
202507,English Dispensing Doctor,6619848.0,341611795.86,44761667.86
202507,English Personal Administration,502208.0,687016.0,7811809.75
202507,English Pharmacy,103067126.0,8947318286.1,861989855.1200001
202508,English Appliance Contractor,1061670.0,78109896.7,70382552.35
202508,English Dispensing Doctor,6190975.0,317671892.2,41952574.26
202508,English Personal Administration,479068.0,632233.0,7292769.609999999
202508,English Pharmacy,94229833.0,7906355842.4,781397931.8
202509,English Appliance Contractor,1134077.0,82808581.6,74343522.37
202509,English Dispensing Doctor,6429430.0,326933821.29999995,45073089.9
202509,English Personal Administration,537604.0,758165.0,8224659.79
202509,English Pharmacy,99610558.0,8363520578.6,863954849.65
202510,English Appliance Contractor,1176058.0,86393630.8,77273900.79
202510,English Dispensing Doctor,7939492.0,338069224.2,67734564.87
202510,English Personal Administration,4378814.0,4548357.0,73883401.41
202510,English Pharmacy,106031104.0,8711436938.7,914765042.35
202511,English Appliance Contractor,1077948.0,81063814.5,72572677.02
202511,English Dispensing Doctor,6437052.0,308904571.2,47381527.620000005
202511,English Personal Administration,1719649.0,1900048.5,28367164.1
202511,English Pharmacy,95771595.0,7921948564.1,808592290.53
202512,English Appliance Contractor,1104068.0,85200627.4,75976341.63
202512,English Dispensing Doctor,6794566.0,337608581.4,47047050.12
202512,English Personal Administration,1188165.0,1375601.5,19336291.2
202512,English Pharmacy,105246577.0,8715826973.4,878331477.31
202601,English Appliance Contractor,1159436.0,87178418.2,76056958.62
202601,English Dispensing Doctor,6517956.0,331094301.3,44848270.61
202601,English Personal Administration,801187.0,1049350.0,12976167.74
202601,English Pharmacy,101150756.0,8388819145.06,838661077.12
202602,English Appliance Contractor,1052569.0,80448687.3,69959541.99000001
202602,English Dispensing Doctor,6016105.0,306948604.9,41401041.58
202602,English Personal Administration,675795.0,890908.4,10642770.09
202602,English Pharmacy,93046365.0,7737482174.38,775273994.43
202603,English Appliance Contractor,1162552.0,88446978.6,76769385.01
202603,English Dispensing Doctor,6416133.0,323110505.66,44314127.58
202603,English Personal Administration,604556.0,800965.7,9609332.35
202603,English Pharmacy,102105643.0,8477115803.3,853979045.46
202604,English Appliance Contractor,1100623.0,84060071.9,73835225.18
202604,English Dispensing Doctor,6394641.0,322608265.1,44521119.93000001
202604,English Personal Administration,493042.0,709237.0,8085348.199999999
202604,English Pharmacy,99967752.0,8329847807.559999,845129486.82
202605,English Appliance Contractor,1109594.0,85960852.4,74465849.52
202605,English Dispensing Doctor,6240245.0,315935248.96,44122861.88
202605,English Personal Administration,508813.0,751789.5,7855057.25
202605,English Pharmacy,97598774.0,8083213361.9,836241675.05
202606,English Appliance Contractor,1230689.0,94551993.8,79814654.37
202606,English Dispensing Doctor,6502326.0,329528971.52,46757152.6
202606,English Personal Administration,488934.0,696767.0,7674320.81
202606,English Pharmacy,102393778.0,8501507860.299999,888989449.42
